cell_subtype,n_cells,gene,detected_cells,pct_detected,mean_counts_per_cell,mean_counts_among_detected
Glia.Oligo,87096,POU3F1,316,0.36281803986405803,0.003404723064659623,0.9384106330366913
Glia.Oligo,87096,FEZF2,155,0.17796454487002847,0.0014087256101161572,0.791576553152754
Glia.Oligo,87096,BCL11B,266,0.30541012216404884,0.002335264675633252,0.764632376650203
Glia.Oligo,87096,PCP4,2333,2.678653439882429,0.020166252868992866,0.7528503900033445
Glia.Oligo,87096,TLE4,51327,58.93152383576743,1.4404114730042454,2.4442121622689377
In.5HT3aR.DISC1_RELN,4798,VAT1L,1143,23.822426010837848,0.32440515035214296,1.361763702003134
In.5HT3aR.DISC1_RELN,4798,EYA4,624,13.005418924551895,0.42006720443166223,3.22993981869089
In.5HT3aR.DISC1_RELN,4798,THSD4,439,9.149645685702376,0.15646269355954104,1.7100410107031387
In.5HT3aR.DISC1_RELN,4798,POU3F1,77,1.6048353480616924,0.01792804827620907,1.1171269562240407
In.5HT3aR.DISC1_RELN,4798,FEZF2,20,0.41684035014589416,0.003247818598651245,0.7791516818164337
In.5HT3aR.DISC1_RELN,4798,BCL11B,1060,22.09253855773239,0.4651185613741503,2.105319676861484
In.5HT3aR.DISC1_RELN,4798,PCP4,930,19.383076281784074,0.3664648715077202,1.8906434983806897
In.5HT3aR.DISC1_RELN,4798,TLE4,475,9.899958315964986,0.13366608859414134,1.3501681959467164
In.PV.PVALB_MYBPC1,3379,VAT1L,723,21.396862977212194,0.3331653061714024,1.5570754765603996
In.PV.PVALB_MYBPC1,3379,EYA4,172,5.090263391535958,0.11304769627706605,2.2208614286058497
In.PV.PVALB_MYBPC1,3379,THSD4,555,16.424977804084048,0.43977681711549604,2.677488045104975
In.PV.PVALB_MYBPC1,3379,POU3F1,18,0.5327019828351583,0.005008706958231081,0.9402456006590457
In.PV.PVALB_MYBPC1,3379,FEZF2,11,0.32554010062148564,0.0028570214778902057,0.8776250521628186
In.PV.PVALB_MYBPC1,3379,BCL11B,2332,69.01450133175496,1.8223257879097812,2.640496928536514
In.PV.PVALB_MYBPC1,3379,PCP4,161,4.764723290914471,0.038432062356609724,0.8065958925651195
In.PV.PVALB_MYBPC1,3379,TLE4,948,28.05563776265167,0.4600432906433405,1.6397534589492062
In.Rosehip.LAMP5_PMEPA1,1829,VAT1L,957,52.3236741388737,0.9908231739435623,1.893642199731218
In.Rosehip.LAMP5_PMEPA1,1829,EYA4,1750,95.68069983597594,8.332236788105142,8.70837776311103
In.Rosehip.LAMP5_PMEPA1,1829,THSD4,79,4.319300164024057,0.04418939110467882,1.0230683079804757
In.Rosehip.LAMP5_PMEPA1,1829,POU3F1,62,3.389830508474576,0.03581284440611276,1.0564789099803265
In.Rosehip.LAMP5_PMEPA1,1829,FEZF2,1,0.054674685620557675,0.0005467468562055768,1.0
In.Rosehip.LAMP5_PMEPA1,1829,BCL11B,1609,87.97156916347731,3.157842654484556,3.5896172871673424
In.Rosehip.LAMP5_PMEPA1,1829,PCP4,175,9.568069983597596,0.08248699903115918,0.8621069784456579
